sentence,tar_sentence,entity,entity_tag,entity_pos_start_rel,entity_pos_end_rel,label
"ODS в лице своего нового председателя Мартина Куба заявила, что не поддержит предлагаемого президентом технического правительства.","ODS в лице своего нового председателя Мартина Куба заявила, что не поддержит предлагаемого президентом [TAR]технического правительства[TAR].",технического правительства,ORGANIZATION,103,129,0
"В заявку сборной России под руководством Владимира Кузюткина попали связующие Вера Улякина и Евгения Старцева, нападающие Леся Махно, Любовь Соколова, Наталья Гончарова, Ольга Фатеева, Екатерина Гамова и Татьяна Кошелева, блокирующие Мария Борисенко (капитан команды), Мария Перепёлкина, Елена Константинова и Юлия Меркулова и два либеро Светлана Крючкова и Екатерина Кабешова.","В заявку [TAR]сборной России[TAR] под руководством Владимира Кузюткина попали связующие Вера Улякина и Евгения Старцева, нападающие Леся Махно, Любовь Соколова, Наталья Гончарова, Ольга Фатеева, Екатерина Гамова и Татьяна Кошелева, блокирующие Мария Борисенко (капитан команды), Мария Перепёлкина, Елена Константинова и Юлия Меркулова и два либеро Светлана Крючкова и Екатерина Кабешова.",сборной России,ORGANIZATION,9,23,1
"Американская певица и актриса Селена Гомес призналась на своей странице в Instagram, что недавно перенесла операцию по пересадке почки.","Американская певица и актриса [TAR]Селена Гомес[TAR] призналась на своей странице в Instagram, что недавно перенесла операцию по пересадке почки.",Селена Гомес,PERSON,30,42,2
"Движение «Талибан» заявило 13 января, что американские и афганские войска напали в районе на тюрьму, где талибы держали пленных бойцов ИГ.","Движение «Талибан» заявило 13 января, что американские и афганские войска напали в районе на тюрьму, где талибы держали пленных [TAR]бойцов ИГ[TAR].",бойцов ИГ,PROFESSION,128,137,0
"Ключевым свидетелем против Насера стал его собственный отец, которому он открыто писал о своих намерениях.","Ключевым свидетелем против [TAR]Насера[TAR] стал его собственный отец, которому он открыто писал о своих намерениях.",Насера,PERSON,27,33,0
"Но в 2010 году полковник был снова задержан, а в 2013 году приговорён к восьми годам колонии строгого режима по обвинению в попытке организовать вооружённый мятеж.","Но в 2010 году [TAR]полковник[TAR] был снова задержан, а в 2013 году приговорён к восьми годам колонии строгого режима по обвинению в попытке организовать вооружённый мятеж.",полковник,PROFESSION,15,24,0
После выступления Мурси в суде был объявлен перерыв.,После выступления [TAR]Мурси[TAR] в суде был объявлен перерыв.,Мурси,PERSON,18,23,1
"Россиянин, обвиняемый в хакерской атаке, заявил о своей невиновности","[TAR]Россиянин[TAR], обвиняемый в хакерской атаке, заявил о своей невиновности",Россиянин,NATIONALITY,0,9,0
Русская Википедия в четвёртый раз получила «Премию Рунета»,[TAR]Русская Википедия[TAR] в четвёртый раз получила «Премию Рунета»,Русская Википедия,ORGANIZATION,0,17,2
"Стивен Бенджамин, адвокат из Ричмонда (штат Вирджиния), является президентом Национальной ассоциации адвокатов по уголовным делам.","[TAR]Стивен Бенджамин[TAR], адвокат из Ричмонда (штат Вирджиния), является президентом Национальной ассоциации адвокатов по уголовным делам.",Стивен Бенджамин,PERSON,0,16,1
"Приговор вступит в силу только после рассмотрения апеляционной жалобы, которую намерены подать адвокаты экс-премьера (ещё как минимум две инстанции).","Приговор вступит в силу только после рассмотрения апеляционной жалобы, которую намерены подать адвокаты экс-[TAR]премьера[TAR] (ещё как минимум две инстанции).",премьера,PROFESSION,108,116,1
Больше всех очков у сборной России в матче набрали Екатерина Гамова (20 очков) и Татьяна Кошелева (15).,Больше всех очков у сборной России в матче набрали Екатерина Гамова (20 очков) и [TAR]Татьяна Кошелева[TAR] (15).,Татьяна Кошелева,PERSON,81,97,2
12 июня Афины и Скопье достигли прогресса в переговорах по спорному вопросу о названии Македонии.,12 июня Афины и Скопье достигли прогресса в переговорах по спорному вопросу о названии [TAR]Македонии[TAR].,Македонии,COUNTRY,87,96,1
"Пост главы правительства Мали Кейта занимал с 1994 по 2000 годы, с 2002 года является спикером парламента.","Пост [TAR]главы правительства[TAR] Мали Кейта занимал с 1994 по 2000 годы, с 2002 года является спикером парламента.",главы правительства,PROFESSION,5,24,1
"«Нам семь тысяч лет» — это лозунг под которым художники подразумевают мультикультурное прошлое донецкой степи, отмечая ее значение для современной Украины в свете поиска новых культурных ориентиров и предпочтений.","«Нам семь тысяч лет» — это лозунг под которым художники подразумевают мультикультурное прошлое донецкой степи, отмечая ее значение для современной [TAR]Украины[TAR] в свете поиска новых культурных ориентиров и предпочтений.",Украины,COUNTRY,147,154,2
Эннио Морриконе написал музыку для более чем 400 американских и европейских кинокартин и телесериалов.,Эннио Морриконе написал музыку для более чем 400 [TAR]американских[TAR] и европейских кинокартин и телесериалов.,американских,COUNTRY,49,61,1
"Всего на борту воздушного судна находились 32 человека, среди которых были представители миссии Организации Объединённых Наций и миротворцы призванные в ДРК с целью защиты мирного населения в условиях затяжной гражданской войны, которая продолжается в стране с 1998 годаРазбившимся в Конго самолетом управлял грузинский экипаж.","Всего на борту воздушного судна находились 32 человека, среди которых были представители миссии Организации Объединённых Наций и миротворцы призванные в [TAR]ДРК[TAR] с целью защиты мирного населения в условиях затяжной гражданской войны, которая продолжается в стране с 1998 годаРазбившимся в Конго самолетом управлял грузинский экипаж.",ДРК,COUNTRY,153,156,1
"В течение двух дней выступили группы: Цемент (Рига), Телевизор (Ленинград), Алиби (Дубна), Хроноп (Нижний Новгород), Леонора Гнедлер (экс-ЦЕМЕНТ) (Рига), J.M.K.E. (Таллинн).","В течение двух дней выступили группы: Цемент (Рига), Телевизор (Ленинград), Алиби (Дубна), Хроноп (Нижний Новгород), Леонора Гнедлер (экс-ЦЕМЕНТ) (Рига), [TAR]J.M.K.E.[TAR] (Таллинн).",J.M.K.E.,ORGANIZATION,154,162,1
"Конференции пройдут в режиме онлайн, кроме того, будет выпущено совместное коммюнике, подписанное американцами, европейцами и бывшими советскими гражданами, включая нескольких генералов в отставке.","Конференции пройдут в режиме онлайн, кроме того, будет выпущено совместное коммюнике, подписанное американцами, европейцами и бывшими советскими гражданами, включая нескольких [TAR]генералов[TAR] в отставке.",генералов,PROFESSION,176,185,1
"Б.Обама назначил М.Шапиро главой SEC четыре года назад, когда доверие инвесторов к государственным рыночным регуляторам было подорвано финансовым кризисом 2008г. Комиссию по ценным бумагам обвиняли в слабом надзоре за брокерскими компаниями типа Lehman Brothers, которые не были готовы к потрясениям и привели к самому серьезному экономическому спаду после времен Великой депрессии.","[TAR]Б.Обама[TAR] назначил М.Шапиро главой SEC четыре года назад, когда доверие инвесторов к государственным рыночным регуляторам было подорвано финансовым кризисом 2008г. Комиссию по ценным бумагам обвиняли в слабом надзоре за брокерскими компаниями типа Lehman Brothers, которые не были готовы к потрясениям и привели к самому серьезному экономическому спаду после времен Великой депрессии.",Б.Обама,PERSON,0,7,2
"В 2011 году режиссёр Руперт Уайатт и продюсеры: Рик Джаффе, Питер Чернин и Дилан Кларк, — решились перезапустить вселенную, сняв фильм «Восстание планеты обезьян».","В 2011 году режиссёр [TAR]Руперт Уайатт[TAR] и продюсеры: Рик Джаффе, Питер Чернин и Дилан Кларк, — решились перезапустить вселенную, сняв фильм «Восстание планеты обезьян».",Руперт Уайатт,PERSON,21,34,1
"ИИ-систему Google обучили на шести телешоу (таких как Newsnight, BBC Breakfast и Question Time), которые выходили в эфир с 2010 по 2015 года, «скормив» ей видео общей продолжительностью 5 тысяч часов (около 118 тысяч предложений).","ИИ-систему [TAR]Google[TAR] обучили на шести телешоу (таких как Newsnight, BBC Breakfast и Question Time), которые выходили в эфир с 2010 по 2015 года, «скормив» ей видео общей продолжительностью 5 тысяч часов (около 118 тысяч предложений).",Google,ORGANIZATION,11,17,1
"Во втором тайме автора первого мяча заменил Томаш Нецид и на 40-й, 80-й и 90-й огорчил китайского вратаря.","Во втором тайме автора первого мяча заменил Томаш Нецид и на 40-й, 80-й и 90-й огорчил китайского [TAR]вратаря[TAR].",вратаря,PROFESSION,98,105,1
"За свою карьеру Лидстрем выиграл по сути все главные командные призы мирового хоккея: он вошел в символический «Тройной золотой клуб», одержав победу в Олимпийских играх, чемпионате мира и Кубке Стэнли, причем главный трофей клубного хоккея шведский хоккеист выиграл четыре раза.","За свою карьеру Лидстрем выиграл по сути все главные командные призы мирового хоккея: он вошел в символический «Тройной золотой клуб», одержав победу в Олимпийских играх, чемпионате мира и Кубке Стэнли, причем главный трофей клубного хоккея шведский [TAR]хоккеист[TAR] выиграл четыре раза.",хоккеист,PROFESSION,250,258,1
"«Теперь я — ваш президент, и Америка разоблачит преступления режима Кастро, и поддержит кубинский народ в их борьбе за свободу», — заявил Трамп, выступая в районе Маленькая Гавана в Майами.","«Теперь я — ваш президент, и Америка разоблачит преступления режима Кастро, и поддержит [TAR]кубинский народ[TAR] в их борьбе за свободу», — заявил Трамп, выступая в районе Маленькая Гавана в Майами.",кубинский народ,NATIONALITY,88,103,2
"В четверг, 22 ноября 2017 года, Гаагский Международный трибунал по бывшей Югославии приговорил бывшего военного командира боснийских сербов 74-летнего генерала Ратко Младича к пожизненному заключению, признав его виновным в геноциде во время Боснийской войны.","В четверг, 22 ноября 2017 года, Гаагский Международный трибунал по бывшей Югославии приговорил бывшего военного командира боснийских сербов 74-летнего генерала Ратко Младича к пожизненному заключению, признав его виновным в геноциде во время [TAR]Боснийской[TAR] войны.",Боснийской,COUNTRY,242,252,1
"CNN процитировало официального представителя американского правительства, который заявил, что обстоятельства исчезновения Вайнштейна остаются «неясными».","CNN процитировало официального представителя [TAR]американского правительства[TAR], который заявил, что обстоятельства исчезновения Вайнштейна остаются «неясными».",американского правительства,ORGANIZATION,45,72,1
"Агентство France-Presse предполагает, что чрезвычайное положение будет отменено раньше.","Агентство [TAR]France-Presse[TAR] предполагает, что чрезвычайное положение будет отменено раньше.",France-Presse,ORGANIZATION,10,23,1
"Walmart утверждает, что даже обладая крупнейшей в мире торговой сетью, компания не может отказаться от карт Visa, так как «это повлечёт за собой неприемлемое снижение продаж».","Walmart утверждает, что даже обладая крупнейшей в мире торговой сетью, компания не может отказаться от карт [TAR]Visa[TAR], так как «это повлечёт за собой неприемлемое снижение продаж».",Visa,ORGANIZATION,108,112,0
"В недавнем заявлении американские военные отвергли обвинения повстанцев в нарушениях, отметив, что соглашение позволяет иностранным войскам защищать афганские силы безопасности в случае нападения талибов.","В недавнем заявлении американские военные отвергли обвинения повстанцев в нарушениях, отметив, что соглашение позволяет иностранным войскам защищать [TAR]афганские силы безопасности[TAR] в случае нападения талибов.",афганские силы безопасности,ORGANIZATION,149,176,2
"Издание Global Times приводит отзывы африканцев, воспользовавшихся медицинскими услугами китайских врачей.","Издание Global Times приводит отзывы африканцев, воспользовавшихся медицинскими услугами китайских [TAR]врачей[TAR].",врачей,PROFESSION,99,105,1
Самым пожилым нынеживущим человеком на Земле также считается женщина из Японии Канэ Танака — 117-летняя жительница префектуры Фукуока.,Самым пожилым нынеживущим человеком на Земле также считается женщина из Японии [TAR]Канэ Танака[TAR] — 117-летняя жительница префектуры Фукуока.,Канэ Танака,PERSON,79,90,1
"Турция начала наступление на курдских боевиков после того, как те в среду провели серию атак, в результате которых были убиты 24 солдата.","[TAR]Турция[TAR] начала наступление на курдских боевиков после того, как те в среду провели серию атак, в результате которых были убиты 24 солдата.",Турция,COUNTRY,0,6,0
С клубом он выиграл АПЛ и Кубок лиги трижды и Кубок Англии.,С клубом он выиграл АПЛ и Кубок лиги трижды и Кубок [TAR]Англии[TAR].,Англии,COUNTRY,52,58,1
"От первого брака с экономистом Татьяной у него взрослая дочь Надежда, от второго брака с Натальей Рогожкиной — сыновья Александр и Пётр.","От первого брака с экономистом Татьяной у него взрослая дочь Надежда, от второго брака с [TAR]Натальей Рогожкиной[TAR] — сыновья Александр и Пётр.",Натальей Рогожкиной,PERSON,89,108,1
"Его пространное эссе содержало тирады против однополых браков и предостережения о том, что «население Франции и Европы» ждёт «смена», и оно будет поставлено под «исламский контроль» и «закон шариата».","Его пространное эссе содержало тирады против однополых браков и предостережения о том, что «население [TAR]Франции[TAR] и Европы» ждёт «смена», и оно будет поставлено под «исламский контроль» и «закон шариата».",Франции,COUNTRY,102,109,0
Во втором матче сборной России противостояла сборная Турции.,Во втором матче [TAR]сборной России[TAR] противостояла сборная Турции.,сборной России,ORGANIZATION,16,30,0
"Размещённая на обложке карикатура изображает опознание в полицейском участке и сопровождается подписью: «Знает ли кто-нибудь, как выглядит Мохаммед?»Копия обложки журнала El Jueves с карикатурой на Мухаммеда в Facebook (архивировано)..","Размещённая на обложке карикатура изображает опознание в полицейском участке и сопровождается подписью: «Знает ли кто-нибудь, как выглядит Мохаммед?»Копия обложки журнала El Jueves с карикатурой на [TAR]Мухаммеда[TAR] в Facebook (архивировано)..",Мухаммеда,PERSON,198,207,1
"Посол КНР в Венесуэле Ли Баожун надеется, что помощь смягчит воздействие санкций.","[TAR]Посол КНР в Венесуэле[TAR] Ли Баожун надеется, что помощь смягчит воздействие санкций.",Посол КНР в Венесуэле,PROFESSION,0,21,1
"Родители Дугласа Гершл и Брайна Даниелович переехали в Америку в 1910 году из белорусского городка Чаусы (Могилёвская губерния, Российская империя) и поселились в городе Амстердам (Нью-Йорк).","Родители Дугласа Гершл и Брайна Даниелович переехали в Америку в 1910 году из белорусского городка Чаусы (Могилёвская губерния, [TAR]Российская империя[TAR]) и поселились в городе Амстердам (Нью-Йорк).",Российская империя,COUNTRY,128,146,1
"Шекатт был убит на юге города, в районе Нойдорф, расположенном всего в двух километрах от места, где он напал на людей двумя днями ранее.","[TAR]Шекатт[TAR] был убит на юге города, в районе Нойдорф, расположенном всего в двух километрах от места, где он напал на людей двумя днями ранее.",Шекатт,PERSON,0,6,0
"Споры о уровне комиссий между крупными американскими ритейлерами, в том числе Walmart, Amazon, Best Buy и Target, а также платёжными системами — Visa и MasterCard продолжается уже почти 10 лет.","Споры о уровне комиссий между крупными американскими ритейлерами, в том числе Walmart, Amazon, Best Buy и Target, а также платёжными системами — [TAR]Visa[TAR] и MasterCard продолжается уже почти 10 лет.",Visa,ORGANIZATION,145,149,0
Автопробег организован «Лигой избирателей» и сообществом автомобилистов (ФАР).,Автопробег организован «Лигой избирателей» и сообществом автомобилистов ([TAR]ФАР[TAR]).,ФАР,ORGANIZATION,73,76,1
А вот как отреагировал на решение о дисквалификации Эрик Тхохир — руководитель индонезийской команды по бадминтону:,А вот как отреагировал на решение о дисквалификации [TAR]Эрик Тхохир[TAR] — руководитель индонезийской команды по бадминтону:,Эрик Тхохир,PERSON,52,63,1
С 2014 года ИГИЛ считается одной из главных угроз международной безопасности.,С 2014 года [TAR]ИГИЛ[TAR] считается одной из главных угроз международной безопасности.,ИГИЛ,ORGANIZATION,12,16,0
"По словам прокуроров, у Мюррея не было необходимого оборудования, которое могло бы спасти жизнь певца.","По словам прокуроров, у Мюррея не было необходимого оборудования, которое могло бы спасти жизнь [TAR]певца[TAR].",певца,PROFESSION,96,101,1
Также в картине сыграли Юрий Колокольников и Олеся Судзиловская.,Также в картине сыграли [TAR]Юрий Колокольников[TAR] и Олеся Судзиловская.,Юрий Колокольников,PERSON,24,42,1
Адвокат Алёхиной Оксана Дарова заявила о политической ангажированности всего процесса: «Маша является человеком крайне активно участвовавшим в гражданской жизни страны — и всюду с ней был 5-летний Филипп.,[TAR]Адвокат[TAR] Алёхиной Оксана Дарова заявила о политической ангажированности всего процесса: «Маша является человеком крайне активно участвовавшим в гражданской жизни страны — и всюду с ней был 5-летний Филипп.,Адвокат,PROFESSION,0,7,1
"Нурсултан Назарбаев, Александр Лукашенко и Владимир Путин","[TAR]Нурсултан Назарбаев[TAR], Александр Лукашенко и Владимир Путин",Нурсултан Назарбаев,PERSON,0,19,1
Позднее министр МВД РФ Рашид Нургалиев сообщил о гибели еще одного — 9-го человека.,Позднее министр МВД РФ [TAR]Рашид Нургалиев[TAR] сообщил о гибели еще одного — 9-го человека.,Рашид Нургалиев,PERSON,23,38,1
В 2002 году Лидстрем также выиграл «Конн Смайт трофи» самому ценному игроку плей-офф НХЛ.,В 2002 году [TAR]Лидстрем[TAR] также выиграл «Конн Смайт трофи» самому ценному игроку плей-офф НХЛ.,Лидстрем,PERSON,12,20,2
В Египте 28 ноября должен пройти первый тур парламентских выборов.,В [TAR]Египте[TAR] 28 ноября должен пройти первый тур парламентских выборов.,Египте,COUNTRY,2,8,1
Президент России Владимир Путин направил телеграмму президенту Франции Эмманюэлю Макрону с выражением сочувствия лично лидеру страны и всему французскому народу по поводу последствий пожара в Соборе Парижской Богоматери.,Президент России Владимир Путин направил телеграмму президенту Франции Эмманюэлю Макрону с выражением сочувствия лично лидеру страны и всему [TAR]французскому[TAR] народу по поводу последствий пожара в Соборе Парижской Богоматери.,французскому,COUNTRY,141,153,2
"У россиян дважды отличился Алан Дзагоев, и по разу чешские ворота поразили Роман Павлюченко и Роман Широков.","У россиян дважды отличился Алан Дзагоев, и по разу чешские ворота поразили Роман Павлюченко и [TAR]Роман Широков[TAR].",Роман Широков,PERSON,94,107,2
"Помимо Элис Манро премию по литература могли получить японец Харуки Мураками, белорусская писательница Светлана Алексиевич и другие выдающиеся люди (не считая вышеперечисленных людей и Элис, вошедших в тройку букмекерских фаворитов).","Помимо [TAR]Элис Манро[TAR] премию по литература могли получить японец Харуки Мураками, белорусская писательница Светлана Алексиевич и другие выдающиеся люди (не считая вышеперечисленных людей и Элис, вошедших в тройку букмекерских фаворитов).",Элис Манро,PERSON,7,17,2
"В пятницу представитель Белого дома Джош Эрнест заявил, что Соединенные Штаты высоко ценят отношения с Германией.","В пятницу представитель Белого дома Джош Эрнест заявил, что [TAR]Соединенные Штаты[TAR] высоко ценят отношения с Германией.",Соединенные Штаты,COUNTRY,60,77,2
"ВМФ Южной Кореи заявил, что выпустил в эфир предупреждение Северу на международно признанной радиочастоте через 25 минут после того как раздались звуки артиллерийских ударов, а один снаряд упал рядом с островом Ёнпхендо, в 20 км к югу от предполагаемого источника стрельбы.","ВМФ Южной Кореи заявил, что выпустил в эфир предупреждение [TAR]Северу[TAR] на международно признанной радиочастоте через 25 минут после того как раздались звуки артиллерийских ударов, а один снаряд упал рядом с островом Ёнпхендо, в 20 км к югу от предполагаемого источника стрельбы.",Северу,COUNTRY,59,65,0
"Она также выступает соавтором сценария, совместно с А. Илюшкиным, Н. Кудряшовой и А. Санько.","Она также выступает соавтором сценария, совместно с А. Илюшкиным, Н. Кудряшовой и [TAR]А. Санько[TAR].",А. Санько,PERSON,82,91,1
"Канадский морской офицер, который признался в том, что сотрудничал с российскими спецслужбами в течение 4 лет, был приговорен к 20 годам в тюрьме.","Канадский [TAR]морской офицер[TAR], который признался в том, что сотрудничал с российскими спецслужбами в течение 4 лет, был приговорен к 20 годам в тюрьме.",морской офицер,PROFESSION,10,24,2
Кандидат в президенты учился в Сорбонне и в настоящее время считается одним из богатейших граждан своей страны.,Кандидат в президенты учился в [TAR]Сорбонне[TAR] и в настоящее время считается одним из богатейших граждан своей страны.,Сорбонне,ORGANIZATION,31,39,1
Ранее озабоченность в связи с организацией выборов и подсчетом голосов в Зимбабве выражали и представители США.,Ранее озабоченность в связи с организацией выборов и подсчетом голосов в [TAR]Зимбабве[TAR] выражали и представители США.,Зимбабве,COUNTRY,73,81,1
"Руководитель пресс-службы ФМС заявил информационному агентству ""РИА Новости"", что задержанию подвергаются граждане любой страны, прибывшие в Россию незаконно.","[TAR]Руководитель пресс-службы ФМС[TAR] заявил информационному агентству ""РИА Новости"", что задержанию подвергаются граждане любой страны, прибывшие в Россию незаконно.",Руководитель пресс-службы ФМС,PROFESSION,0,29,1
В настоящий момент Керри возглавляет комитет Сената по международным отношениям.,В настоящий момент Керри возглавляет [TAR]комитет Сената по международным отношениям[TAR].,комитет Сената по международным отношениям,ORGANIZATION,37,79,1
"В то время как американские спортсмены готовятся к Летним Олимпийским играм 2012 в Лондоне, в США вспыхнул скандал вокруг формы, которую носят американские спортсмены.","В то время как американские спортсмены готовятся к Летним Олимпийским играм 2012 в Лондоне, в США вспыхнул скандал вокруг формы, которую носят американские [TAR]спортсмены[TAR].",спортсмены,PROFESSION,156,166,2
"В ответ немецкий концерн Bayer, который приобрёл Monsanto в 2018 году, заявил, что намерен подать апелляцию:","В ответ немецкий концерн Bayer, который приобрёл [TAR]Monsanto[TAR] в 2018 году, заявил, что намерен подать апелляцию:",Monsanto,ORGANIZATION,49,57,2
"Подтверждается, что в числе погибших есть 13-летняя дочь спортсмена Джианна, отец готовил её к будущему в баскетболе, она уже имела неофициальное приглашение от университета Коннектикута, сильнейшей женской программы NCAA.","Подтверждается, что в числе погибших есть 13-летняя дочь спортсмена [TAR]Джианна[TAR], отец готовил её к будущему в баскетболе, она уже имела неофициальное приглашение от университета Коннектикута, сильнейшей женской программы NCAA.",Джианна,PERSON,68,75,2
"Американские учёные Юджин Фама, Ларс Питер Хансен и Роберт Шиллер удостоены премии Государственного банка Швеции памяти Альфреда Нобеля за «эмпирический анализ цен активов».","[TAR]Американские[TAR] учёные Юджин Фама, Ларс Питер Хансен и Роберт Шиллер удостоены премии Государственного банка Швеции памяти Альфреда Нобеля за «эмпирический анализ цен активов».",Американские,NATIONALITY,0,12,1
"Земан собирается с помощью ""своего"" правительства решить и прошлые частные проблемы с министром иностранных дел Карлом Шварценбергом, с которым у президента возникли разногласия по поводу кандидатур на пост дипломатических посланников в Москву и Братиславу.","Земан собирается с помощью ""своего"" правительства решить и прошлые частные проблемы с министром иностранных дел [TAR]Карлом Шварценбергом[TAR], с которым у президента возникли разногласия по поводу кандидатур на пост дипломатических посланников в Москву и Братиславу.",Карлом Шварценбергом,PERSON,112,132,1
В конце матча организаторы игры выбрали лучшего игрока.,В конце матча организаторы игры выбрали лучшего [TAR]игрока[TAR].,игрока,PROFESSION,48,54,1
"Каприлес заявлял, что Мадуро и правительство Чавеса не прилагают достаточных усилий для улучшения экономической ситуации в Венесуэле, решения проблемы дефицита продовольствия и снижения преступности.","Каприлес заявлял, что Мадуро и правительство Чавеса не прилагают достаточных усилий для улучшения экономической ситуации в [TAR]Венесуэле[TAR], решения проблемы дефицита продовольствия и снижения преступности.",Венесуэле,COUNTRY,123,132,1
"Миссия нашего фестиваля — подарить и показать нашим зрителям современное качественное и высокое искусство российское кино, которое заставляет человека задуматься, сопереживать, помогает решать важнейшие жизненные вопросы.","Миссия нашего фестиваля — подарить и показать нашим зрителям современное качественное и высокое искусство [TAR]российское[TAR] кино, которое заставляет человека задуматься, сопереживать, помогает решать важнейшие жизненные вопросы.",российское,COUNTRY,106,116,1
"В четверг, 29 января 2015 года, Савченко перевезли в медсанчасть СИЗО «Матросская тишина» в связи с потерей веса.","В четверг, 29 января 2015 года, [TAR]Савченко[TAR] перевезли в медсанчасть СИЗО «Матросская тишина» в связи с потерей веса.",Савченко,PERSON,32,40,1
"Встреча на Эльбе — эпизод Второй мировой войны, когда 25 апреля 1945 года недалеко от города Торгау на реке Эльба в Германии войска 1-го Украинского фронта СССР встретились с войсками 1-й армии США.","Встреча на Эльбе — эпизод Второй мировой войны, когда 25 апреля 1945 года недалеко от города Торгау на реке Эльба в Германии войска 1-го Украинского фронта СССР встретились с войсками [TAR]1-й армии США[TAR].",1-й армии США,ORGANIZATION,184,197,2
Она заявила о неуклонной поддержке компартии и приверженности укреплению патриотизма.,Она заявила о неуклонной поддержке [TAR]компартии[TAR] и приверженности укреплению патриотизма.,компартии,ORGANIZATION,35,44,1
До 1999 года Скрипаль работал в ГРУ и имел звание полковника.,До 1999 года Скрипаль работал в ГРУ и имел звание [TAR]полковника[TAR].,полковника,PROFESSION,50,60,1
Однако публичной реакции от российских властей не последовало.,Однако публичной реакции от [TAR]российских[TAR] властей не последовало.,российских,COUNTRY,28,38,1
